Hostname,IP Address,KB,Installed
ansible-dc,192.168.1.5,KB5055661,No
ansible-dc,192.168.1.5,KB5055526,Yes
ansible-dc,192.168.1.5,KB5055519,No
ansible-dc,192.168.1.5,KB5055521,No
ansible-dc,192.168.1.5,KB5055661,No
ansible-dc,192.168.1.5,KB5055526,Yes
ansible-dc,192.168.1.5,KB5055519,No
ansible-dc,192.168.1.5,KB5055521,No
ansible-dc,192.168.1.5,KB5055661,No
ansible-dc,192.168.1.5,KB5055526,Yes
ansible-dc,192.168.1.5,KB5055519,No
ansible-dc,192.168.1.5,KB5055521,No
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server16,192.168.1.7,KB5055661,Yes
server16,192.168.1.7,KB5055526,No
server16,192.168.1.7,KB5055519,No
server16,192.168.1.7,KB5055521,Yes
server19,192.168.1.26,KB5055661,No
server19,192.168.1.26,KB5055526,No
server19,192.168.1.26,KB5055519,Yes
server19,192.168.1.26,KB5055521,No
server19,192.168.1.26,KB5055661,No
server19,192.168.1.26,KB5055526,No
server19,192.168.1.26,KB5055519,Yes
server19,192.168.1.26,KB5055521,No
server19,192.168.1.26,KB5055661,No
server19,192.168.1.26,KB5055526,No
server19,192.168.1.26,KB5055519,Yes
server19,192.168.1.26,KB5055521,No
wsus,192.168.1.8,KB5055661,No
wsus,192.168.1.8,KB5055526,Yes
wsus,192.168.1.8,KB5055519,No
wsus,192.168.1.8,KB5055521,No
wsus,192.168.1.8,KB5055661,No
wsus,192.168.1.8,KB5055526,Yes
wsus,192.168.1.8,KB5055519,No
wsus,192.168.1.8,KB5055521,No
wsus,192.168.1.8,KB5055661,No
wsus,192.168.1.8,KB5055526,Yes
wsus,192.168.1.8,KB5055519,No
wsus,192.168.1.8,KB5055521,No
